temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0006.160;4344;5542
0006.170;4344;5599
0006.183;4344;5599
0006.191;4344;5514
0006.201;4344;5578
0006.214;4344;5607
0006.224;4344;5635
0006.230;4344;5671
0006.241;4344;5706
0006.251;4344;5778
0006.261;4344;5564
0006.271;4344;5621
0006.283;4344;5599
0006.292;4344;5599
0006.300;4344;5457
0006.310;4344;5678
0006.321;4344;5507
0006.331;4344;5592
0006.341;4344;5564
0006.351;4344;5564
0006.361;4344;5564
0006.372;4344;5585
0006.380;4344;5471
0006.398;4344;5607
0006.415;4344;5585
0006.439;4344;5649
0006.454;4344;5621
0006.476;4344;5607
0006.509;4344;5607
0006.520;4344;5607
0006.542;4344;5485
0006.552;4344;5521
0006.561;4344;5578
0006.573;4344;5492
0006.581;4344;5492
0006.591;4344;5457
0006.600;4344;5557
0006.610;4344;5557
0006.620;4344;5500
0006.630;4344;5535
0006.641;4344;5535
0006.651;4344;5649
0006.661;4344;5685
0006.669;4344;5664
0006.680;4344;5721
0006.690;4344;5621
0006.700;4344;5706
0006.721;4344;5685
0006.731;4344;5599
0006.747;4344;5628
0006.762;4344;5571
0006.772;4344;5535
0006.780;4344;5557
0006.790;4344;5435
0006.801;4344;5514
0006.811;4344;5478
0006.821;4344;5478
0006.831;4344;5521
0006.840;4344;5635
0006.850;4344;5578
0006.862;4344;5728
0006.870;4344;5592
0006.881;4344;5649
0006.889;4344;5550
0006.903;4344;5664
0006.909;4344;5664
0006.920;4344;5550
0006.930;4344;5664
0006.940;4344;5550
0006.950;4344;5692
0006.961;4344;5671
0006.969;4344;5642
0006.979;4344;5471
0006.989;4344;5607
0007.000;4344;5635
0007.010;4344;5607
0007.022;4344;5550
0007.030;4344;5492
0007.047;4344;5592
0007.059;4344;5535
0007.069;4344;5478
0007.080;4344;5564
0007.090;4344;5521
0007.104;4344;5457
0007.110;4344;5485
0007.118;4344;5485
0007.129;4344;5400
0007.139;4344;5443
0007.149;4344;5500
0007.160;4344;5614
0007.172;4344;5671
0007.182;4344;5571
0007.190;4344;5714
0007.199;4344;5706
0007.209;4344;5714
0007.219;4344;5642
0007.229;4344;5771
0007.238;4344;5492
0007.250;4344;5749
0007.258;4344;5614
0007.268;4344;5699
0007.279;4344;5614
0007.291;4344;5500
0007.299;4344;5635
0007.309;4344;5578
0007.320;4344;5578
0007.330;4344;5564
0007.338;4344;5621
0007.348;4344;5621
0007.359;4344;5599
0007.369;4344;5599
0007.379;4344;5628
0007.389;4344;5628
0007.402;4344;5599
0007.416;4344;5685
0007.428;4344;5628
0007.439;4344;5628
0007.609;4344;5564
0007.621;4344;5507
0007.640;4344;5621
0007.652;4344;5564
0007.658;4344;5571
0007.669;4344;5656
0007.679;4344;5585
0007.689;4344;5564
0007.697;4344;5706
0007.708;4344;5664
0007.718;4344;5664
0007.728;4344;5756
0007.738;4344;5792
0007.767;4344;5728
0007.785;4344;5592
0007.798;4344;5592
0007.808;4344;5592
0007.818;4344;5621
0007.829;4344;5592
0007.839;4344;5592
0007.855;4344;5535
0007.868;4344;5564
0007.878;4344;5592
0007.888;4344;5507
0007.898;4344;5614
0007.911;4344;5528
